frac,frame,N,frac_in,n_out,expand,csv,png
T170_to_T171,0,34874,0.9997706027412973,8,1.02,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z000.csv,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z000.png
T170_to_T171,1,34874,0.9999426506853243,2,1.02,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z001.csv,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z001.png
T170_to_T171,2,34874,0.9999426506853243,2,1.02,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z002.csv,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z002.png
T170_to_T171,3,34874,0.9999139760279865,3,1.02,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z003.csv,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z003.png
T170_to_T171,4,34874,0.9997992773986351,7,1.02,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z004.csv,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z004.png
T170_to_T171,5,34874,0.9999139760279865,3,1.02,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z005.csv,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z005.png
T170_to_T171,6,34874,0.9997419280839593,9,1.02,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z006.csv,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z006.png
T170_to_T171,7,34874,0.9997419280839593,9,1.02,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z007.csv,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z007.png
T170_to_T171,8,34874,0.999827952055973,6,1.02,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z008.csv,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z008.png
T170_to_T171,9,34874,0.9995985547972702,14,1.02,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z009.csv,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z009.png
T170_to_T171,10,34874,0.9997419280839593,9,1.02,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z010.csv,/home/zhouyj/stVirtual/src/Mbrain/Mbrain_results/bound/T170_to_T171/bound_z010.png
